Strategy,Query_ID,Full_SSA_Time,Full_PRA_Time,Hybrid_SSA_Time,Hybrid_PRA_Time,Candidates,Pruning_Ratio,Recall_HSSA,Recall_HPRA,FullSSA_Count,HSSA_Count,HPRA_Count
UnionWin c=5.0,4210,0.4296302795410156,0.42216062545776367,0.042031049728393555,0.04315996170043945,61,0.9,0.0,0.0,1,0,0
UnionWin c=10.0,7523,0.39585351943969727,0.38062286376953125,0.08013582229614258,0.0806722640991211,108,0.8229508196721311,0.0,0.0,1,0,0
UnionWin c=10.0,4267,0.4472389221191406,0.5125176906585693,0.08200240135192871,0.07517170906066895,106,0.8262295081967213,1.0,1.0,0,0,0
UnionWin c=10.0,6363,0.4323270320892334,0.4446382522583008,0.09096360206604004,0.0744929313659668,109,0.8213114754098361,1.0,1.0,0,0,0
UnionWin c=10.0,867,0.4452860355377197,0.3796389102935791,0.07961249351501465,0.08186173439025879,110,0.819672131147541,1.0,1.0,0,0,0
UnionWin c=10.0,4210,0.4055323600769043,0.39950084686279297,0.07801651954650879,0.0805063247680664,113,0.8147540983606557,0.0,0.0,1,0,0
UnionWin c=20.0,7523,0.3823845386505127,0.37239933013916016,0.13816428184509277,0.14374709129333496,216,0.6459016393442623,0.0,0.0,1,0,0
UnionWin c=20.0,4267,0.3920872211456299,0.3897123336791992,0.15487360954284668,0.16199421882629395,213,0.6508196721311476,1.0,1.0,0,0,0
UnionWin c=20.0,6363,0.38147664070129395,0.3888814449310303,0.14365792274475098,0.16641974449157715,216,0.6459016393442623,1.0,1.0,0,0,0
UnionWin c=20.0,867,0.37307000160217285,0.3918008804321289,0.1647481918334961,0.15945768356323242,222,0.6360655737704918,1.0,1.0,0,0,0
UnionWin c=20.0,4210,0.3719635009765625,0.3769865036010742,0.16303014755249023,0.14402294158935547,214,0.6491803278688524,0.0,0.0,1,0,0
MinRank c=1.5,7523,0.3955252170562744,0.3775954246520996,0.10908389091491699,0.11277413368225098,15,0.9754098360655737,1.0,1.0,1,1,1
MinRank c=1.5,4267,0.3969407081604004,0.3863697052001953,0.10829925537109375,0.11179018020629883,15,0.9754098360655737,1.0,1.0,0,0,0
MinRank c=1.5,6363,0.6411499977111816,0.4134385585784912,0.10644793510437012,0.14037728309631348,15,0.9754098360655737,1.0,1.0,0,0,0
MinRank c=1.5,867,0.39032649993896484,0.3879399299621582,0.10699653625488281,0.1428389549255371,15,0.9754098360655737,1.0,1.0,0,0,0
MinRank c=1.5,4210,0.3957335948944092,0.39420223236083984,0.10602784156799316,0.13225150108337402,15,0.9754098360655737,1.0,1.0,1,3,3
MinRank c=3.0,7523,0.3872392177581787,0.41646790504455566,0.18155431747436523,0.12674188613891602,30,0.9508196721311475,1.0,1.0,1,1,1
MinRank c=3.0,4267,0.4041416645050049,0.3796229362487793,0.12515759468078613,0.1207578182220459,30,0.9508196721311475,1.0,1.0,0,0,0
MinRank c=3.0,6363,0.3888580799102783,0.37838172912597656,0.11157369613647461,0.11879444122314453,30,0.9508196721311475,1.0,1.0,0,0,0
MinRank c=3.0,867,0.3859081268310547,0.3710503578186035,0.14415717124938965,0.11954379081726074,30,0.9508196721311475,1.0,1.0,0,0,0
MinRank c=3.0,4210,0.42784929275512695,0.5836977958679199,0.18800902366638184,0.26320600509643555,30,0.9508196721311475,1.0,1.0,1,3,3
MinRank c=5.0,7523,0.6114428043365479,0.7022244930267334,0.3432297706604004,0.3896443843841553,50,0.9180327868852459,1.0,1.0,1,1,1
MinRank c=5.0,4267,0.616570234298706,0.45897960662841797,0.13949084281921387,0.16383814811706543,50,0.9180327868852459,1.0,1.0,0,0,0
MinRank c=5.0,6363,0.5955650806427002,0.5536117553710938,0.2963991165161133,0.18674874305725098,50,0.9180327868852459,1.0,1.0,0,0,0
MinRank c=5.0,867,0.5953226089477539,0.3979067802429199,0.13642406463623047,0.16763091087341309,50,0.9180327868852459,1.0,1.0,0,0,0
